Linear Detection Measurement - Goesser_25_65_
Pose p; Framenumber n; number of detected matches; targetpose px[m]; py[m]; pz[m]; rotx[°]; roty[°]; rotz[°]
Pose p; calculate Median
Pose p; calculate Mittelwert
Pose p; calculate Spannweite
Pose p; calculate Stdev
13; 17; 31; 0.0394368; -0.189417; 1.80618; 61.12; -160.832; 5.62682
13; 18; 42; -0.0718018; -0.0782743; 1.69619; 103.683; 157.191; 3.74581
13; 19; 43; 0.0420515; -0.232896; 1.73191; 44.6539; -161.002; 14.3925
13; 20; 33; 0.0332898; -0.21904; 1.78423; 49.2479; -162.966; 16.0717
13; Median; 40; 0.0377227; -0.193264; 1.78403; 9.02915; -159.564; 58.2959
13; Mean; 39.15; 0.0199963; -0.175898; 1.77384; 8.41302; -95.1307; 65.961
13; Range; 26; 0.118189; 0.169513; 0.165833; 15.3511; 342.773; 67.8891
13; Stdev; 5.65928; 0.0391212; 0.0527059; 0.0391243; 3.59521; 130.373; 21.2035
14; 1; 32; 0.0554044; -0.245609; 1.88174; 60.6531; -159.274; 8.09981
14; 2; 27; 0.0520545; -0.237431; 1.85286; 63.8888; -161.713; 6.10163
14; 3; 29; 0.059755; -0.259733; 1.91848; 56.1352; -160.152; 9.29805
14; 4; 34; 0.0768153; -0.250563; 1.86633; 60.2477; -154.719; 4.45273
14; 5; 33; 0.0772188; -0.268459; 1.70088; 43.4967; -158.059; 10.184
14; 6; 29; 0.0584246; -0.274752; 1.91375; 53.1264; -161.707; 9.13019
14; 7; 33; 0.0538483; -0.249083; 1.8699; 59.1293; -161.431; 9.08812
14; 8; 29; 0.0341672; -0.267996; 1.91636; 56.1018; -168.097; 6.3191
14; 9; 32; 0.0671644; -0.264153; 1.86491; 54.7176; -157.78; 7.81308
14; 10; 31; 0.09068; -0.224693; 1.64116; 47.379; -151.298; 17.6162
14; 11; 29; -0.0682321; -0.130801; 1.7412; 102.287; 147.926; 1.70155
14; 12; 32; 0.0298601; -0.275731; 2.02279; 59.6945; -170.019; 6.52843
14; 13; 34; 0.0429752; -0.273671; 1.98269; 58.4254; -162.076; 10.619
14; 14; 24; 0.053876; -0.242814; 1.87135; 60.9613; -162.572; 6.74277
